Address,Town,ZipCode,Area,Price,Beds,Baths,Broker,latitude,longitude
302 277 Thurlow Street, Vancouver,V6C 0C1,3366,9990000,3,4,Luxmore Realty,49.2884,-123.1195
Ph4201 1077 W Cordova Street, Vancouver,V6C 2C6,6041,19999000,3,5,Virani Real Estate Advisors,49.2884,-123.1185
303 1771 Nelson Street, Vancouver,V6G 1M6,905,868900,2,2,Stonehaus Realty Corp.,49.2885,-123.1372
4163 Cedar Drive, Coquitlam,V3E 3H7,2463,4320000,4,3,RE/MAX All Points Realty,49.2887,-122.7237
2403 1205 W Hastings Street, Vancouver,V6E 4T7,1462,2950000,2,2,Lehomes Realty Premier,49.2889,-123.1226
2402 1139 W Cordova Street, Vancouver,V6C 0A2,2407,7980000,2,3,Royal Pacific Realty (kingsway) Ltd.,49.2889,-123.1202
801 1139 W Cordova Street, Vancouver,V6C 0A2,2669,6798000,2,3,Engel & Volkers Vancouver,49.2889,-123.1202
3540 Baycrest Avenue, Coquitlam,V3B 2W7,3876,2999000,6,4,Sutton Group-West Coast Realty,49.2889,-122.734
1161 W Cordova Street, Vancouver,V6C 0A1,2303,4350000,3,4,Macdonald Realty,49.289,-123.1207
1001 1850 Comox Street, Vancouver,V6G 1R3,588,369000,1,1,RE/MAX Crest Realty,49.2893,-123.1403
603 555 Jervis Street, Vancouver,V6E 4N1,589,798000,1,1,Sutton Premier Realty,49.2893,-123.1252
302 555 Jervis Street, Vancouver,V6E 4N1,941,1113000,2,2,Sutton Group-West Coast Realty,49.2893,-123.1252
2201 1233 W Cordova Street, Vancouver,V6C 3R1,1783,4149888,3,2,RE/MAX City Realty,49.2896,-123.1228
1003 1233 W Cordova Street, Vancouver,V6C 3R1,2528,4680000,4,3,Royal Pacific Realty Corp.,49.2896,-123.1228
2101 1233 W Cordova Street, Vancouver,V6C 3R1,3620,8000000,3,3,Royal Pacific Realty Corp.,49.2896,-123.1228
2915 Trinity Street, Vancouver,V5K 1G1,2229,1599900,4,3,Oakwyn Realty Downtown Ltd.,49.2897,-123.0439
2304 1550 Alberni Street, Vancouver,V6G 1A5,1155,2980000,2,2,Grand Central Realty,49.2898,-123.1305
3502 1550 Alberni Street, Vancouver,V6G 1A5,1422,3999999,2,2,Regent Park Realty Inc.,49.2898,-123.1305
801 1550 Alberni Street, Vancouver,V6G 1A5,1452,3148888,2,2,Keller Williams Elite Realty,49.2898,-123.1305
1201 1568 Alberni Street, Vancouver,V6G 1A5,1454,3100000,2,2,Team 3000 Realty Ltd.,49.2898,-123.1305
1902 1550 Alberni Street, Vancouver,V6G 1A5,1504,3250000,2,2,Macdonald Realty,49.2898,-123.1305
2402 1550 Alberni Street, Vancouver,V6G 1A5,1519,3888000,2,2,RE/MAX Masters Realty,49.2898,-123.1305
2102 1550 Alberni Street, Vancouver,V6G 1A5,1523,3798000,2,2,Sutton Group-West Coast Realty,49.2898,-123.1305
2702 1550 Alberni Street, Vancouver,V6G 1A5,1560,4209900,2,2,Sutton Group-West Coast Realty,49.2898,-123.1305
804 1550 Alberni Street, Vancouver,V6G 1A5,1798,3600000,2,2,RE/MAX Crest Realty,49.2898,-123.1305
3504 1550 Alberni Street, Vancouver,V6G 1A5,2076,5380000,2,2,Luxmore Realty,49.2898,-123.1305
3702 1550 Alberni Street, Vancouver,V6G 1A5,2117,9988000,3,3,Pacific Evergreen Realty Ltd.,49.2898,-123.1305
2303 1550 Alberni Street, Vancouver,V6G 1A5,2142,5818000,3,3,Sunrich Realty,49.2898,-123.1305
1402 1550 Alberni Street, Vancouver,V6G 1A5,2176,4352888,2,2,Sutton Group-West Coast Realty,49.2898,-123.1305
2403 1550 Alberni Street, Vancouver,V6G 1A5,2183,6488000,3,3,Trg The Residential Group Downtown Realty,49.2898,-123.1305
1704 1568 Alberni Street, Vancouver,V6G 1A5,998,2998000,2,2,Metro Edge Realty,49.2898,-123.1305
2604 1281 W Cordova Street, Vancouver,V6C 3R5,1390,2839000,2,2,Oakwyn Realty Ltd.,49.2899,-123.1237
402 1281 W Cordova Street, Vancouver,V6C 3R5,2478,5988000,3,3,Oakwyn Realty Ltd.,49.2899,-123.1237
602 1838 Nelson Street, Vancouver,V6G 1N1,959,1085000,2,2,Oakwyn Realty Downtown Ltd.,49.2899,-123.1394
1002 499 Broughton Street, Vancouver,V6G 3K1,1456,2699000,2,2,Sutton Group-West Coast Realty,49.29,-123.127
602 499 Broughton Street, Vancouver,V6G 3K1,1456,3380000,2,2,Pacific Evergreen Realty Ltd.,49.29,-123.127
1602 499 Broughton Street, Vancouver,V6G 3K1,1704,3590000,2,3,Parallel 49 Realty,49.29,-123.127
304 1477 W Pender Street, Vancouver,V6G 2S3,817,1099000,1,1,Royal Pacific Realty Corp.,49.29,-123.1288
303 1477 W Pender Street, Vancouver,V6G 2S3,817,1099000,1,1,Royal Pacific Realty Corp.,49.29,-123.1288
302 588 Broughton Street, Vancouver,V6G 3E3,942,1128000,2,2,RE/MAX City Realty,49.29,-123.1271
1003 Alpine Place, Port Moody,V3H 3Y5,1790,1699000,3,3,RE/MAX Crest Realty,49.2901,-122.8226
1003 Alpine Place, Port Moody,V3H 3Y5,1790,1699000,3,3,RE/MAX Crest Realty,49.2901,-122.8226
1802 323 Jervis Street, Vancouver,V6C 3P8,1745,4980000,3,3,Royal Pacific Lions Gate Realty Ltd.,49.2902,-123.1244
3402 1550 Alberni Street, Vancouver,V6G 2Z6,1422,4500000,2,2,Royal Pacific Realty (kingsway) Ltd.,49.2903,-123.1302
2802 1515 Alberni Street, Vancouver,V6G 2Z6,1636,4299800,2,2,Bosa Properties Realty Inc.,49.2903,-123.1302
903 1550 Alberni Street, Vancouver,V6G 2Z6,1893,3480000,2,2,Nu Stream Realty Inc.,49.2903,-123.1302
3901 1550 Alberni Street, Vancouver,V6G 2Z6,2140,12900800,3,3,Virani Real Estate Advisors,49.2903,-123.1302
1302 1550 Albeni Street, Vancouver,V6G 2Z6,2318,3540000,2,2,Nu Stream Realty Inc.,49.2903,-123.1302
2703 1550 Alberni Street, Vancouver,V6G 2Z6,2392,7280000,3,3,Nu Stream Realty Inc.,49.2903,-123.1302
3904 1515 Alberni Street, Vancouver,V6G 2Z6,2993,16999800,3,4,Bosa Properties Realty Inc.,49.2903,-123.1302
Ph1 1550 Alberni Street, Vancouver,V6G 2Z6,4404,31880800,3,5,Virani Real Estate Advisors,49.2903,-123.1302
605 590 Nicola Street, Vancouver,V6G 3J8,1130,1500000,2,2,RE/MAX Masters Realty,49.2905,-123.1281
1203 535 Nicola Street, Vancouver,V6G 3G3,3080,4885000,4,5,Royal Pacific Realty Corp.,49.2908,-123.1281
2003 560 Cardero Street, Vancouver,V6G 2W6,2156,4690000,3,2,Century 21 In Town Realty,49.291,-123.1299
1701 1816 Haro Street, Vancouver,V6G 2Y7,715,699000,1,1,Engel & Volkers Vancouver,49.291,-123.1366
L401 1550 Coal Harbour Quay, Vancouver,V6G 3G1,2131,3650000,4,3,Macdonald Realty,49.2911,-123.128
17 55 Hawthorn Drive, Port Moody,V3H 0B3,2079,1398000,4,3,Royal Lepage West Real Estate Services,49.2917,-122.8511
6 55 Hawthorn Drive, Port Moody,V3H 0B3,2091,1399000,3,3,Keller Williams Elite Realty,49.2917,-122.8511
2001 1616 Bayshore Drive, Vancouver,V6G 3L1,1517,2398000,2,2,The Partners Real Estate,49.2919,-123.1308
501 1717 Bayshore Drive, Vancouver,V6G 3H3,1734,3190000,3,3,Royal Lepage Westside,49.292,-123.1307
1488 2088 Barclay Street, Vancouver,V6G 1L5,3018,4100000,3,4,Unilife Realty Inc.,49.2921,-123.1406
1700 1863 Alberni Street, Vancouver,V6G 3H8,2337,5200000,3,3,Amex - Fraseridge Realty,49.2929,-123.1352
409 3156 Dayanee Springs Boulevard, Coquitlam,V3E 0B7,827,650000,2,2,Royal Lepage Sterling Realty,49.2938,-122.7845
1266 Alderside Road, Port Moody,V3H 3A6,1852,1198000,3,3,Parallel 49 Realty,49.2942,-122.8547
844 Alderside Road, Port Moody,V3H 3A6,2185,3200000,4,3,Macdonald Realty (langley),49.2942,-122.8547
203 1465 Parkway Boulevard, Coquitlam,V3E 3E6,2070,1288800,3,3,RE/MAX Sabre Realty Group,49.2967,-122.8088
8 65 Foxwood Drive, Port Moody,V3H 4Z5,1178,775000,2,3,Macdonald Realty,49.2968,-122.8416
25 65 Foxwood Drive, Port Moody,V3H 4Z5,1344,849900,2,3,Sutton Group - 1st West Realty,49.2968,-122.8416
3338 Pelcher Court, Coquitlam,V3E 2X3,5411,3598000,6,7,Nu Stream Realty Inc.,49.2985,-122.7724
1505 Stonecrop Court, Coquitlam,V3E 2Y1,8854,4190000,6,6,Oakwyn Realty Ltd.,49.2987,-122.8067
125 2998 Robson Drive, Coquitlam,V3E 2X6,2103,1249900,3,3,Prompton Real Estate Services Inc.,49.2991,-122.788
1433 Lambert Way, Coquitlam,V3E 2Z8,2274,1749000,4,3,RE/MAX All Points Realty,49.3002,-122.7704
1527 Parkway Boulevard, Coquitlam,V3E 2V7,7481,4180000,8,7,Nu Stream Realty Inc.,49.3014,-122.8068
3003 Plateau Boulevard, Coquitlam,V3E 2T1,9190,3999000,7,8,Homeland Realty,49.3014,-122.7917
3504 Highland Drive, Coquitlam,V3E 3H2,5147,2795000,8,8,RE/MAX Sabre Realty Group,49.3017,-122.7516
314 Miami River Drive, Harrison Hot Springs,V0M 1K0,1730,999000,3,2,Royal Lepage Global Force Realty,49.3023,-121.7776
Blk C Dl 2769 Long Island, Harrison Hot Springs,V0M 1K0,2040,599000,5,2,Century 21 Creekside Realty (agassiz),49.3023,-121.7776
6565 Rockwell Drive, Harrison Hot Springs,V0M 1K0,3533,2500000,4,5,RE/MAX Lifestyles Realty,49.3023,-121.7776
3017 Plateau Boulevard, Coquitlam,V3E 2W7,5219,2749000,7,5,RE/MAX Blueprint Realty,49.3034,-122.79
2502 1550 Alberni Street, Vancouver,V6G 0B5,1645,3228100,2,2,Oakwyn Realty Downtown Ltd.,49.3043,-123.1438
1415 Collins Road, Coquitlam,V3E 0A7,1807,1130000,4,3,RE/MAX Crest Realty,49.3044,-122.7373
209 2738 Library Lane, North Vancouver,V7J 0B3,968,948000,2,2,RE/MAX Masters Realty,49.3055,-123.0305
213 3629 Deercrest Drive, North Vancouver,V7G 2S9,1023,829000,2,2,Macdonald Realty,49.3056,-122.971
414 3629 Deercrest Drive, North Vancouver,V7G 2S8,630,525000,1,1,Royal Lepage Sussex,49.306,-122.9716
316 3600 Windcrest Drive, North Vancouver,V7G 2S5,702,500000,1,1,Royal Lepage Sussex,49.3062,-122.9712
90 St. Davids Avenue, North Vancouver,V7L 3N6,2890,4400000,6,4,RA Realty Alliance Inc.,49.3064,-123.066
1558 Bond Street, North Vancouver,V7J 1E7,2482,2988000,4,2,RE/MAX Crest Realty,49.3071,-123.0298
3340 Hazel Avenue, Coquitlam,V3E 3H3,2345,3499000,5,3,Royal Pacific Realty Corp.,49.3072,-122.7613
434 Felton Place, North Vancouver,V7G 1Z9,5271,3890000,6,6,Exp Realty,49.3075,-122.9557
127 1685 Pinetree Way, Coquitlam,V3E 3A1,2283,1098000,3,3,Keller Williams Elite Realty,49.3078,-122.7873
519 Roslyn Boulevard, North Vancouver,V7G 1P2,5031,4995000,7,5,RE/MAX Masters Realty,49.3078,-122.9515
Th9 610 E 3rd Street, North Vancouver,V7L 1G7,1554,1425000,3,3,Engel & Volkers Vancouver,49.3085,-123.0627
Th10 610 E 3rd Street, North Vancouver,V7L 1G7,1582,1500000,3,4,Engel & Volkers Vancouver,49.3085,-123.0627
Th6 610 E 3rd Street, North Vancouver,V7L 1G7,1862,1679000,4,4,Engel & Volkers Vancouver,49.3085,-123.0627
416-418 E 2nd Street, North Vancouver,V7L 1C8,3204,3700000,9,3,Sotheby's International Realty Canada,49.3086,-123.0684
311 Moody Avenue, North Vancouver,V7L 4T8,2595,3700000,5,3,Exp Realty,49.3087,-123.0602
508 1519 Crown Street, North Vancouver,V7J 1G6,941,928000,2,2,RE/MAX Masters Realty,49.3088,-123.0318
552 Beachview Drive, North Vancouver,V7G 1P9,4173,4880000,5,3,Marine Vista Realty,49.309,-122.9505
204 360 E 2nd Street, North Vancouver,V7L 4N6,744,568000,1,1,Royal Lepage Sussex,49.3091,-123.0696
902 185 Victory Ship Way, North Vancouver,V7L 0G2,1885,3800000,3,3,Anson Realty Ltd.,49.3098,-123.0782
901 185 Victory Ship Way, North Vancouver,V7L 0G2,2934,8180000,4,4,Anson Realty Ltd.,49.3098,-123.0782
705 175 Victory Ship Way, North Vancouver,V7L 0G1,3046,4890000,4,4,RE/MAX Crest Realty,49.3098,-123.0782
2206 301 Capilano Road, Port Moody,V3H 0G6,955,799900,2,2,Jovi Realty Inc.,49.3099,-122.8605
2404 1500 Fern Street, North Vancouver,V7J 1H5,1886,3169900,3,4,Sotheby's International Realty Canada,49.3106,-123.0325
1710 Hampton Drive, Coquitlam,V3E 3C9,6898,3098000,5,7,Royal Lepage West Real Estate Services,49.3106,-122.7839
905 1471 Hunter Street, North Vancouver,V7J 1H3,941,1029000,2,2,Behroyan & Associates Real Estate Services,49.3106,-123.0342
651 Beachview Drive, North Vancouver,V7G 1P8,3480,3599000,4,4,Engel & Volkers Vancouver,49.3117,-122.95
593 Riverside Drive, North Vancouver,V7H 1V4,5505,7388000,4,7,Sotheby's International Realty Canada,49.3117,-123.0146
5th 88 Lonsdale Avenue, North Vancouver,V7M 2E6,2833,3600000,2,2,Lee & Associates Vancouver,49.3118,-123.0788
3 220 E 4th Street, North Vancouver,V7L 1H9,1315,995000,2,2,Macdonald Realty,49.3125,-123.0724
14 220 E 4th Street, North Vancouver,V7L 1H9,1425,1195000,2,2,Stilhavn Real Estate Services,49.3125,-123.0724
1505 Crystal Creek Drive, Anmore,V3H 0A3,4882,3789000,4,6,RE/MAX All Points Realty,49.3126,-122.8524
310 120 E 4th Street, North Vancouver,V7L 1H6,664,429000,1,1,RE/MAX Rossetti Realty,49.3132,-123.0739
12 834 Premier Street, North Vancouver,V7J 2G8,940,479000,2,1,RE/MAX Rossetti Realty,49.3132,-123.0277
338 Keith Road, North Vancouver,V7L 1V7,3657,2949900,4,5,Century 21 Coastal Realty Ltd.,49.3136,-123.0653
900 Canterwood Court, Anmore,V3H 3C8,4502,3450000,6,7,Royal Lepage West Real Estate Services,49.314,-122.8765
900 Canterwood Court, Anmore,V3H 3C8,4502,3450000,6,7,Royal Lepage West Real Estate Services,49.314,-122.8765
102 216 E 6 Street, North Vancouver,V7L 1P5,1588,1359000,3,3,Sutton Group-West Coast Realty,49.3141,-123.0698
2525 East Road, Anmore,V3H 5G9,5345,3649000,6,7,RE/MAX All Points Realty,49.3145,-122.8555
1606 155 W 1st Street, North Vancouver,V7M 3N8,1084,1599000,2,2,Century 21 In Town Realty,49.3147,-123.0851
1606 155 W 1st Street, North Vancouver,V7M 3N8,1084,1599000,2,2,Century 21 In Town Realty,49.3147,-123.0851
115 131 W 4th Street, North Vancouver,V7M 3C8,716,499999,1,1,Stilhavn Real Estate Services,49.3149,-123.0776
603 567 Lonsdale Avenue, North Vancouver,V7M 2G6,1018,899000,2,2,Oakwyn Realty Downtown Ltd.,49.3152,-123.0753
612 108 E 8th Street, North Vancouver,V7L 0H1,814,1245000,2,2,RE/MAX Crest Realty,49.3158,-123.0678
2138 Braeside Place, Coquitlam,V3E 3L3,5807,3090000,5,6,RE/MAX Westcoast,49.3159,-122.7939
44 433 Seymour River Place, North Vancouver,V7H 0B8,506,599900,1,1,Stilhavn Real Estate Services,49.3159,-122.9805
866 E 10th Street, North Vancouver,V7L 2G4,4258,3688800,8,7,Exp Realty,49.3168,-123.0508
416 221 E 3rd Street, North Vancouver,V7L 0C1,918,989990,2,2,Sutton Group - Vancouver First Realty,49.3173,-123.0621
716 Spence Way, Anmore,V3H 5H4,6189,2788800,8,7,RE/MAX Sabre Realty Group,49.3174,-122.8555
732 E 11th Street, North Vancouver,V7L 2H8,4620,4258000,6,7,Virani Real Estate Advisors,49.3177,-123.052
232 W 5th Street, North Vancouver,V7M 1K1,1868,1825000,4,4,Oakwyn Realty Ltd.,49.3178,-123.0815
234 W 5th Street, North Vancouver,V7M 1K1,1869,1749000,4,4,Oakwyn Realty Ltd.,49.3178,-123.0815
154 Turtlehead Road, Belcarra,V3H 4P1,3007,2848800,4,3,Royal Lepage West Real Estate Services,49.3178,-122.9302
246 W 5th Street, North Vancouver,V7M 1K1,4030,3298000,10,6,Sutton Group-West Coast Realty,49.3178,-123.0815
212 3658 Banff Court, North Vancouver,V7H 2Z9,1138,899000,2,2,Royal Lepage Westside,49.3187,-122.9692
Ph2 162 Victory Ship Way, North Vancouver,V7L 0B4,1674,2750000,3,3,Royal Lepage Sussex,49.3188,-123.0591
4995 Robson Road, Belcarra,V3H 4N9,2961,4995000,4,4,Pacific Evergreen Realty Ltd.,49.3189,-122.9281
3299 Black Bear Way, Anmore,V3H 5G6,10849,8899000,6,11,Royal Lepage West Real Estate Services,49.3193,-122.8553
1065 Uplands Drive, Anmore,V3H 5G6,4116,2595000,5,4,Royal Lepage West Real Estate Services,49.3193,-122.8553
1702 112 E 13th Street, North Vancouver,V7L 0E4,1344,2699800,2,2,Royal Pacific Realty Corp.,49.3198,-123.0518
1703 112 E 13th Street, North Vancouver,V7L 0E4,1621,3500000,2,2,Century 21 In Town Realty,49.3198,-123.0518
1704 112 E 13th Street, North Vancouver,V7L 0E4,1825,3099000,2,2,Century 21 In Town Realty,49.3198,-123.0518
1305 160 E 13th Street, North Vancouver,V7L 2L5,999,995000,2,2,Oakwyn Realty Ltd.,49.3201,-123.0695
306 158 W 13th Street, North Vancouver,V7M 0A7,1086,1149900,2,2,Oakwyn Realty Ltd.,49.3202,-123.0748
1047 Deep Cove Road, North Vancouver,V7G 1S4,1670,1498800,3,2,Coldwell Banker Prestige Realty,49.3202,-122.9539
1047 Deep Cove Road, North Vancouver,V7G 1S4,1670,1498800,3,2,Coldwell Banker Prestige Realty,49.3202,-122.9539
607 158 W 13th Street, North Vancouver,V7M 0A7,813,845000,2,2,One Percent Realty Ltd.,49.3202,-123.0748
414 725 Marine Drive, North Vancouver,V7M 0G2,694,659900,1,1,RE/MAX Crest Realty,49.3203,-123.0924
1570 Look Out Point, North Vancouver,V7G 1X9,3046,3498800,5,4,Behroyan & Associates Real Estate Services,49.3205,-122.9405
52 3295 Sunnyside Road, Anmore,V3H 4Z4,3315,1698000,4,4,Multiple Realty Ltd.,49.321,-122.8557
1887 Orkney Place, North Vancouver,V7H 2Z1,4690,2950000,6,4,Royal Lepage Sussex,49.321,-122.9923
3115 Chestnut Crescent, Port Moody,V3H 0J4,5472,4198000,5,6,Royal Lepage West Real Estate Services,49.321,-122.8539
506 1500 Ostler Court, North Vancouver,V7G 2S2,819,778800,1,1,Royal Lepage Sussex,49.3216,-122.9579
704 121 W 16th Street, North Vancouver,V7M 3P4,710,695000,1,1,Sotheby's International Realty Canada,49.323,-123.073
309 1633 Tatlow Avenue, North Vancouver,V7P 2Z8,971,848000,2,2,RE/MAX Crest Realty,49.3232,-123.1176
305 1550 Fern Street, North Vancouver,V7J 0A9,651,689000,1,1,Royal Lepage Sussex,49.3236,-123.0342
1402 1550 Fern Street, North Vancouver,V7J 0A9,820,899000,2,2,Vanak Realty,49.3236,-123.0342
502 1621 Hamilton Avenue, North Vancouver,V7P 0B6,1187,1400000,3,2,Sotheby's International Realty Canada,49.3238,-123.1049
304 1330 Marine Drive, North Vancouver,V7P 1T4,425,499000,0,1,Coldwell Banker Prestige Realty,49.3239,-123.1133
449 E 17th Street, North Vancouver,V7L 2W3,3625,2888000,7,5,RE/MAX Masters Realty,49.3241,-123.0601
439 E 17th Street, North Vancouver,V7L 2W3,4347,3188000,8,6,Royal Pacific Realty Corp.,49.3241,-123.0601
1806 1632 Lions Gate Lane, North Vancouver,V7P 3B3,1256,1820000,3,2,Royal Lepage Sussex,49.3245,-123.1224
507 3602 Aldercrest Drive, North Vancouver,V7G 0A2,1295,999900,2,2,Exp Realty,49.3245,-122.9488
402 1675 Lions Gate, North Vancouver,V7P 3B3,513,778000,1,1,Royal Lepage Sterling Realty,49.3245,-123.1224
1008 1633 Capilano Road, North Vancouver,V7P 3B3,619,928000,2,1,RE/MAX Crest Realty,49.3245,-123.1224
1504 1675 Lions Gate Lane, North Vancouver,V7P 3B3,825,1599000,2,2,Royal Pacific Realty Corp.,49.3245,-123.1224
1205 1633 Capilano Road, North Vancouver,V7P 3B3,945,1340000,2,2,Sutton Group - Vancouver First Realty,49.3245,-123.1224
1205 1633 Capilano Road, North Vancouver,V7P 3B3,945,1340000,2,2,Sutton Group - Vancouver First Realty,49.3245,-123.1224
1742 Bewicke Avenue, North Vancouver,V7M 3C4,2804,2378000,5,5,Sutton Group-West Coast Realty,49.3246,-123.0911
1742 Bewicke Avenue, North Vancouver,V7M 3C4,2804,2378000,5,5,Sutton Group-West Coast Realty,49.3246,-123.0911
448 E 18th Street, North Vancouver,V7L 2Y2,4921,3888000,6,6,RE/MAX Crest Realty,49.3251,-123.0624
1990 Dunrobin Crescent, North Vancouver,V7H 1N2,3877,3499900,4,4,RE/MAX 2000 Realty,49.3253,-122.9963
1845 Sutherland Avenue, North Vancouver,V7L 4C3,5270,3998000,8,9,Royal Pacific Realty Corp.,49.3255,-123.0546
326 1633 MacKay Avenue, North Vancouver,V7P 0A2,725,649000,1,1,Royal Lepage Sussex,49.3259,-123.112
906 200 Klahanie Court, West Vancouver,V7P 3P5,1096,1499900,2,2,Rennie & Associates Realty Ltd.,49.3262,-123.1246
904 200 Klahanie Court, West Vancouver,V7P 3P5,897,1399900,2,2,Rennie & Associates Realty Ltd.,49.3262,-123.1246
1900 Larson Road, North Vancouver,V7M 2Z6,3936,3048000,7,6,Sutton Group-West Coast Realty,49.3263,-123.0879
1912 Larson Road, North Vancouver,V7M 2Z6,3936,3048000,7,6,Sutton Group-West Coast Realty,49.3263,-123.0879
302 4390 Gallant Avenue, North Vancouver,V7G 1L2,1034,1198000,2,2,Sutton Group-West Coast Realty,49.3268,-122.9505
2010 Floralynn Crescent, North Vancouver,V7J 2W2,2859,1599000,5,3,Macdonald Realty,49.3272,-123.0337
602 1327 Bellevue Avenue, West Vancouver,V7T 0B9,2491,12880000,3,4,Sutton Group-West Coast Realty,49.3274,-123.1553
2020 & 2036 Larson Road, North Vancouver,V7M 2Z9,4268,3999000,11,6,Exp Realty,49.3274,-123.0863
1810 Bellevue Avenue, West Vancouver,V7V 1B4,2220,2490000,4,4,Macdonald Realty,49.3277,-123.1623
301 1930 Bellevue Avenue, West Vancouver,V7V 1B5,1968,4288000,2,2,Rennie & Associates Realty Ltd.,49.328,-123.1658
175 2035 Glenaire Drive, North Vancouver,V7P 1Y3,1581,1479900,4,4,RE/MAX Masters Realty,49.3282,-123.1213
115 2035 Glenaire Drive, North Vancouver,V7P 1Y3,506,619800,1,1,Lehomes Realty,49.3282,-123.1213
801 2004 Fullerton Avenue, North Vancouver,V7P 3G8,587,528000,1,1,Team 3000 Realty Ltd.,49.3285,-123.1222
804 2004 Fullerton Avenue, North Vancouver,V7P 3G8,864,639000,2,1,Behroyan & Associates Real Estate Services,49.3285,-123.1222
1281 Clyde Avenue, West Vancouver,V7T 1E6,2047,5288000,3,2,Behroyan & Associates Real Estate Services,49.3286,-123.1492
2915 Panorama Drive, North Vancouver,V7G 2A4,3532,2178888,4,2,RE/MAX Crest Realty,49.329,-122.9504
602 460 14th Street, West Vancouver,V7T 2W1,1201,989000,2,2,Oakwyn Realty Ltd.,49.3291,-123.1544
580 Arthur Erickson Place, West Vancouver,V7T 1J1,2554,3279900,3,4,Stilhavn Real Estate Services,49.3291,-123.1377
576 Arthur Erickson Place, West Vancouver,V7T 1J1,2584,3299900,3,4,Stilhavn Real Estate Services,49.3291,-123.1377
1206 2016 Fullerton Avenue, North Vancouver,V7P 3E6,641,439000,1,1,Behroyan & Associates Real Estate Services,49.3293,-123.1223
2155 Philip Avenue, North Vancouver,V7P 2W5,2922,2799000,4,3,Rennie & Associates Realty Ltd.,49.3295,-123.1131
968 Duchess Avenue, West Vancouver,V7T 1G9,3105,3488000,3,5,Behroyan & Associates Real Estate Services,49.3295,-123.1445
970 Duchess Avenue, West Vancouver,V7T 1G9,3529,3588000,4,5,Behroyan & Associates Real Estate Services,49.3295,-123.1445
405 2020 Fullerton Avenue, North Vancouver,V7P 3G3,772,449000,1,1,Royal Lepage Sussex,49.3295,-123.1224
778 Arthur Erickson Place, West Vancouver,V7T 0B6,1765,2749900,2,3,Engel & Volkers Vancouver,49.3297,-123.1384
603 768 Arthur Erickson Place, West Vancouver,V7T 0B6,1945,3799900,2,3,Engel & Volkers Vancouver,49.3297,-123.1384
Ph 801 788 Arthur Erickson Place, West Vancouver,V7T 0B6,2060,4179900,3,3,Engel & Volkers Vancouver,49.3297,-123.1384
1215 Duchess Avenue, West Vancouver,V7T 1H3,3265,3698000,5,5,Sotheby's International Realty Canada,49.3297,-123.1513
801 2167 Bellevue Avenue, West Vancouver,V7V 1C2,1092,1020000,2,2,Team 3000 Realty Ltd.,49.3298,-123.1705
1892 Duchess Avenue, West Vancouver,V7V 1R1,5449,5748000,6,6,Sotheby's International Realty Canada,49.3298,-123.1641
1254 W 22nd Street, North Vancouver,V7P 2G1,4884,3398000,7,6,RE/MAX Rossetti Realty,49.33,-123.109
309 1425 Esquimalt Avenue, West Vancouver,V7T 1L1,656,429000,1,1,Royal Lepage Sussex,49.3307,-123.155
931 Esquimalt Avenue, West Vancouver,V7T 1J9,2413,3988000,4,4,Royal Lepage Sussex,49.3309,-123.1389
301 2280 Bellevue Avenue, West Vancouver,V7V 1C6,1365,2498000,2,2,Royal Lepage Sussex - John Jennings,49.3313,-123.1733
501 2288 Bellevue Avenue, West Vancouver,V7V 1C6,3310,9500000,3,5,The Partners Real Estate,49.3313,-123.1733
885 Braeside Street, West Vancouver,V7T 2K7,3356,4498000,4,3,Royal Lepage Sussex,49.3313,-123.1431
905 Braeside Street, West Vancouver,V7T 2K7,3814,4450000,4,6,RE/MAX Clara Hartree,49.3313,-123.1431
824 Anderson Crescent, West Vancouver,V7T 1S7,3024,3498000,4,3,Royal Pacific Realty Corp.,49.3314,-123.143
1450 Fulton Avenue, West Vancouver,V7T 1P1,4104,4280000,5,7,Sutton Group-West Coast Realty,49.3315,-123.1545
2305 Western Avenue, North Vancouver,V7M 2L4,1985,2198000,4,4,The Partners Real Estate,49.3318,-123.0737
2271 Fulton Avenue, West Vancouver,V7V 1T7,4602,3998000,6,5,Rennie & Associates Realty - Jason Soprovich,49.3323,-123.1733
102 2601 Whiteley Court, North Vancouver,V7J 2R7,992,899000,2,2,RE/MAX Rossetti Realty,49.3325,-123.0416
875 Aubeneau Crescent, West Vancouver,V7T 1T4,4559,4698000,5,5,Rennie & Associates Realty - Jason Soprovich,49.3326,-123.1414
2520 Lloyd Avenue, North Vancouver,V7R 3X1,4833,3400000,7,7,Royal Lepage Sussex,49.3327,-123.1048
2331 Bellevue Avenue, West Vancouver,V7V 1C9,2460,2749000,3,3,Royal Lepage Sussex,49.3331,-123.1789
205 2471 Bellevue Avenue, West Vancouver,V7V 1E1,2991,4380000,2,3,Royal Lepage Sussex,49.3331,-123.179
248 W 26th Street, North Vancouver,V7N 2G4,4607,3499800,7,6,Royal Pacific Realty Corp.,49.3333,-123.0754
1105 Haywood Avenue, West Vancouver,V7T 1T8,4873,4998000,5,8,Oakwyn Realty Ltd.,49.3334,-123.1462
2290 Haywood Avenue, West Vancouver,V7V 1X5,3199,3398000,5,3,Sutton Group-West Coast Realty,49.3337,-123.1715
2211 Haywood Avenue, West Vancouver,V7V 1X6,4402,4998000,4,5,Engel & Volkers Vancouver,49.3338,-123.173
